name,block,dtype,units,formula
PM2.5_ground,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
PM10_ground,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
NO_ground,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
NOx_ground,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
NH3_ground,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
SO2_ground,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
CO_ground,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_temperature_c,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_dewpoint_c,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_u10,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_v10,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_wind_speed,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_relative_humidity,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_surface_pressure_hpa,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_boundary_layer_height,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_solar_radiation_w_m2,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
era5_total_precipitation_mm,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
sat_NO2,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
sat_CO,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
sat_HCHO,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
satellite_age_hours,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
geo_dist_to_nearest_road_m,0_legacy_58,float64,see legacy schema,inherited verbatim from features_engineered.parquet
